symbol	NMF rank	MMF localization	SAFE domain	SAFE localization	Entrez	BioGRID	HGNC	RefSeq	UniProt
ACBD5	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	91452	124836	HGNC:23338	NM_145698	Q5T8D3
ACIN1	10	nuclear body	3	splicing speckles, nucleolus	22985	116634	HGNC:17066	NM_014977	Q9UKV3
ACO2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	50	106566	HGNC:118	NM_001098	Q99798
ACOT1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	641371	534965	HGNC:33128	NM_001037161	Q86TX2
ACOT2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	10965	116164	HGNC:18431	NM_006821	P49753
ACOT7	19	miscellaneous	-	-	11332	116460	HGNC:24157	NM_007274	O00154
ACOT8	12	centrosome	2	mitochondrial outer membrane, peroxisome	10005	115323	HGNC:15919	NM_183386	O14734
ACOT9	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	23597	117132	HGNC:17152	NM_012332	Q9Y305
ACOX1	12	centrosome	2	mitochondrial outer membrane, peroxisome	51	106567	HGNC:119	NM_001185039	Q15067
ACSF3	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	197322	128248	HGNC:27288	NM_174917	Q4G176
ACSL3	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	2181	108477	HGNC:3570	NM_004457	O95573
ACSL4	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	2182	108478	HGNC:3571	NM_004458	O60488
ACSS1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	84532	124122	HGNC:16091	NM_032501	Q9NUB1
ACTA1	11	plasma membrane	-	-	58	106573	HGNC:129	NM_001100	P68133
ACTA2	5	actin cytoskeleton, cytosol	-	-	59	106574	HGNC:130	NM_001613	P62736
ACTB	19	miscellaneous	-	-	60	106575	HGNC:132	NM_001101	P60709
ACTBL2	5	actin cytoskeleton, cytosol	7	actin cytoskeleton	345651	131362	HGNC:17780	NM_001017992	Q562R1
ACTC1	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	70	106585	HGNC:143	NM_005159	P68032
ACTG1	19	miscellaneous	1	no prediction	71	106586	HGNC:144	NM_001614	P63261
ACTL6A	2	chromatin	22	chromatin, nucleoplasm	86	106601	HGNC:24124	NM_004301	O96019
ACTN1	19	miscellaneous	-	-	87	106602	HGNC:163	NM_001102	P12814
ACTN4	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	81	106596	HGNC:166	NM_001322033	O43707
ACTR10	17	microtubule cytoskeleton	15	microtubule cytoskeleton	55860	120962	HGNC:17372	NM_018477	Q9NZ32
ACTR2	1	cell junction	-	-	10097	115404	HGNC:169	NM_001005386	P61160
ADAM17	3	ER membrane	19	nuclear outer membrane-ER membrane network	6868	112731	HGNC:195	NM_003183	P78536
ADAM22	11	plasma membrane	20	cell junction, plasma membrane	53616	119789	HGNC:201	NM_021723	Q9P0K1
ADAM9	11	plasma membrane	20	cell junction, plasma membrane	8754	114290	HGNC:216	NM_003816	Q13443
ADAR	8	nucleolus	3	splicing speckles, nucleolus	103	106617	HGNC:225	NM_001111	P55265
ADCK2	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	90956	124782	HGNC:19039	NM_052853	Q7Z695
ADCY3	11	plasma membrane	20	cell junction, plasma membrane	109	106623	HGNC:234	NM_001320613	O60266
ADCY6	11	plasma membrane	20	cell junction, plasma membrane	112	106625	HGNC:237	NM_020983	O43306
ADCY9	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	115	106628	HGNC:240	NM_001116	O60503
ADD1	1	cell junction	20	cell junction, plasma membrane	118	106631	HGNC:243	NM_014189	P35611
ADD2	1	cell junction	20	cell junction, plasma membrane	119	106632	HGNC:244	NM_001617	P35612
ADD3	1	cell junction	20	cell junction, plasma membrane	120	106633	HGNC:245	NM_019903	Q9UEY8
ADGRL1	1	cell junction	20	cell junction, plasma membrane	22859	116528	HGNC:20973	NM_014921	O94910
ADGRL2	1	cell junction	20	cell junction, plasma membrane	23266	116868	HGNC:18582	NM_012302	O95490
ADIPOR1	11	plasma membrane	20	cell junction, plasma membrane	51094	119283	HGNC:24040	NM_015999	Q96A54
ADIPOR2	3	ER membrane	19	nuclear outer membrane-ER membrane network	79602	122739	HGNC:24041	NM_024551	Q86V24
ADNP	2	chromatin	22	chromatin, nucleoplasm	23394	116967	HGNC:15766	NM_181442	Q9H2P0
ADNP2	2	chromatin	22	chromatin, nucleoplasm	22850	116522	HGNC:23803	NM_014913	Q6IQ32
ADPGK	6	ER lumen	4	ER lumen	83440	123643	HGNC:25250	NM_031284	Q9BRR6
AFDN	1	cell junction	20	cell junction, plasma membrane	4301	110447	HGNC:7137	NM_005936	P55196
AFF4	10	nuclear body	22	chromatin, nucleoplasm	27125	118016	HGNC:17869	NM_014423	Q9UHB7
AFG3L2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	10939	116139	HGNC:315	NM_006796	Q9Y4W6
AFTPH	20	early endosome, recycling endosome	18	endosome, lysosome	54812	120169	HGNC:25951	NM_017657	Q6ULP2
AGAP1	11	plasma membrane	1	no prediction	116987	125550	HGNC:16922	NM_014914	Q9UPQ3
AGAP3	11	plasma membrane	-	-	116988	125551	HGNC:16923	NM_031946	Q96P47
AGFG1	1	cell junction	6	clathrin coat	3267	109503	HGNC:5175	NM_004504	P52594
AGFG2	20	early endosome, recycling endosome	6	clathrin coat	3268	109504	HGNC:5177	NM_006076	O95081
AGGF1	9	nucleoplasm	1	no prediction	55109	120419	HGNC:24684	NM_018046	Q8N302
AGK	18	mitochondrial inner membrane, mitochondrial intermembrane space	1	no prediction	55750	120868	HGNC:21869	NM_018238	Q53H12
AGO2	12	centrosome	14	centrosome enriched, P-body enriched	27161	118041	HGNC:3263	NM_012154	Q9UKV8
AGPAT1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	10554	115805	HGNC:324	NM_006411	Q99943
AGPAT3	3	ER membrane	19	nuclear outer membrane-ER membrane network	56894	121224	HGNC:326	NM_020132	Q9NRZ7
AGTPBP1	5	actin cytoskeleton, cytosol	-	-	23287	116885	HGNC:17258	NM_015239	Q9UPW5
AHCTF1	15	nuclear outer membrane-ER membrane network	24	nuclear pore	25909	117414	HGNC:24618	NM_015446	Q8WYP5
AHCYL1	1	cell junction	20	cell junction, plasma membrane	10768	115987	HGNC:344	NM_001242673	O43865
AHCYL2	11	plasma membrane	20	cell junction, plasma membrane	23382	116958	HGNC:22204	NM_001130720	Q96HN2
AHNAK2	20	early endosome, recycling endosome	-	-	113146	125226	HGNC:20125	NM_138420	Q8IVF2
AHSA1	19	miscellaneous	-	-	10598	115846	HGNC:1189	NM_012111	O95433
AIF1L	5	actin cytoskeleton, cytosol	-	-	83543	123676	HGNC:28904	NM_031426	Q9BQI0
AIFM1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	9131	114579	HGNC:8768	NM_001130846	O95831
AIFM2	15	nuclear outer membrane-ER membrane network	1	no prediction	84883	124325	HGNC:21411	NM_032797	Q9BRQ8
AIP	19	miscellaneous	1	no prediction	9049	114511	HGNC:358	NM_001302959	O00170
AK2	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	204	106707	HGNC:362	NM_001625	P54819
AK3	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	50808	119127	HGNC:17376	NM_016282	Q9UIJ7
AK4	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	205	106708	HGNC:363	NM_013410	P27144
AKAP1	18	mitochondrial inner membrane, mitochondrial intermembrane space	2	mitochondrial outer membrane, peroxisome	8165	113818	HGNC:367	NM_001242902	Q92667
AKAP10	20	early endosome, recycling endosome	18	endosome, lysosome	11216	116385	HGNC:368	NM_007202	O43572
AKAP11	15	nuclear outer membrane-ER membrane network	1	no prediction	11215	116384	HGNC:369	NM_016248	Q9UKA4
AKAP12	1	cell junction	20	cell junction, plasma membrane	9590	114958	HGNC:370	NM_005100	Q02952
AKAP13	5	actin cytoskeleton, cytosol	-	-	11214	116383	HGNC:371	NM_007200	Q12802
AKAP17A	10	nuclear body	3	splicing speckles, nucleolus	8227	113860	HGNC:18783	NM_005088	Q02040
AKAP2	5	actin cytoskeleton, cytosol	-	-	11217	116386	HGNC:372	NM_001004065	Q9Y2D5
AKAP5	1	cell junction	20	cell junction, plasma membrane	9495	114874	HGNC:375	NM_004857	P24588
AKAP8	10	nuclear body	8	paraspeckles	10270	115561	HGNC:378	NM_005858	O43823
AKAP8L	19	miscellaneous	-	-	26993	117940	HGNC:29857	NM_014371	Q9ULX6
AKAP9	12	centrosome	1	no prediction	10142	115445	HGNC:379	NM_005751	Q99996
AKT2	1	cell junction	20	cell junction, plasma membrane	208	106711	HGNC:392	NM_001626	P31751
ALAS1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	211	106713	HGNC:396	NM_000688	P13196
ALCAM	11	plasma membrane	20	cell junction, plasma membrane	214	106716	HGNC:400	NM_001627	Q13740
ALDH18A1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	5832	111790	HGNC:9722	NM_002860	P54886
ALDH1A2	5	actin cytoskeleton, cytosol	-	-	8854	114379	HGNC:15472	NM_001206897	O94788
ALDH1B1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	219	106721	HGNC:407	NM_000692	P30837
ALDH1L2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	160428	127759	HGNC:26777	NM_001034173	Q3SY69
ALDH2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	217	106719	HGNC:404	NM_000690	P05091
ALDH3A2	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	224	106726	HGNC:403	NM_000382	P51648
ALDH3B1	5	actin cytoskeleton, cytosol	1	no prediction	221	106723	HGNC:410	NM_000694	P43353
ALDH7A1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	501	106990	HGNC:877	NM_001182	P49419
ALDH9A1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	223	106725	HGNC:412	NM_000696	P49189
ALG13	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	79868	122956	HGNC:30881	NM_018466	Q9NP73
ALG3	3	ER membrane	19	nuclear outer membrane-ER membrane network	10195	115490	HGNC:23056	NM_005787	Q92685
ALG5	13	mitochondrial outer membrane, peroxisome	-	-	29880	118935	HGNC:20266	NM_013338	Q9Y673
ALG9	3	ER membrane	19	nuclear outer membrane-ER membrane network	79796	122893	HGNC:15672	NM_024740	Q9H6U8
ALKBH4	19	miscellaneous	1	no prediction	54784	120148	HGNC:21900	NM_017621	Q9NXW9
ALKBH5	2	chromatin	22	chromatin, nucleoplasm	54890	120237	HGNC:25996	NM_017758	Q6P6C2
ALMS1	12	centrosome	14	centrosome enriched, P-body enriched	7840	113598	HGNC:428	NM_015120	Q8TCU4
ALYREF	2	chromatin	22	chromatin, nucleoplasm	10189	115486	HGNC:19071	NM_005782	Q86V81
AMER1	1	cell junction	20	cell junction, plasma membrane	139285	126556	HGNC:26837	NM_152424	Q5JTC6
AMIGO2	11	plasma membrane	20	cell junction, plasma membrane	347902	131497	HGNC:24073	NM_181847	Q86SJ2
AMOT	12	centrosome	20	cell junction, plasma membrane	154796	127557	HGNC:17810	NM_133265	Q4VCS5
AMOTL1	12	centrosome	20	cell junction, plasma membrane	154810	127559	HGNC:17811	NM_130847	Q8IY63
ANAPC1	12	centrosome	12	anaphase-promoting complex, kinesin complex	64682	122229	HGNC:19988	NM_022662	Q9H1A4
ANAPC4	19	miscellaneous	12	anaphase-promoting complex, kinesin complex	29945	118982	HGNC:19990	NM_013367	Q9UJX5
ANAPC5	19	miscellaneous	12	anaphase-promoting complex, kinesin complex	51433	119537	HGNC:15713	NM_001137559	Q9UJX4
ANGEL2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	90806	124763	HGNC:30534	NM_144567	Q5VTE6
ANK2	1	cell junction	-	-	287	106784	HGNC:493	NM_001148	Q01484
ANK3	1	cell junction	20	cell junction, plasma membrane	288	106785	HGNC:494	NM_020987	Q12955
ANKFY1	20	early endosome, recycling endosome	-	-	51479	119564	HGNC:20763	NM_016376	Q9P2R3
ANKH	7	endosome, lysosome	18	endosome, lysosome	56172	121103	HGNC:15492	NM_054027	Q9HCJ1
ANKHD1	16	cytoplasmic ribonucleoprotein granule	-	-	54882	120230	HGNC:24714	NM_017747	Q8IWZ3
ANKHD1-EIF4EBP3	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	404734	135698	HGNC:33530	NM_020690	
ANKLE2	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	23141	116758	HGNC:29101	NM_015114	Q86XL3
ANKRD11	9	nucleoplasm	22	chromatin, nucleoplasm	29123	118888	HGNC:21316	NM_013275	Q6UB99
ANKRD13C	13	mitochondrial outer membrane, peroxisome	1	no prediction	81573	123534	HGNC:25374	NM_030816	Q8N6S4
ANKRD17	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	26057	117519	HGNC:23575	NM_032217	O75179
ANKRD26	1	cell junction	1	no prediction	22852	116523	HGNC:29186	NM_001256053	Q9UPS8
ANKRD27	7	endosome, lysosome	1	no prediction	84079	123874	HGNC:25310	NM_032139	Q96NW4
ANKRD28	17	microtubule cytoskeleton	1	no prediction	23243	116847	HGNC:29024	NM_015199	O15084
ANKRD50	11	plasma membrane	20	cell junction, plasma membrane	57182	121431	HGNC:29223	NM_020337	Q9ULJ7
ANKRD52	17	microtubule cytoskeleton	15	microtubule cytoskeleton	283373	129540	HGNC:26614	NM_173595	Q8NB46
ANKS1A	1	cell junction	6	clathrin coat	23294	116889	HGNC:20961	NM_015245	Q92625
ANKS6	7	endosome, lysosome	-	-	203286	128464	HGNC:26724	NM_173551	Q68DC2
ANLN	11	plasma membrane	20	cell junction, plasma membrane	54443	119959	HGNC:14082	NM_018685	Q9NQW6
ANO10	3	ER membrane	19	nuclear outer membrane-ER membrane network	55129	120435	HGNC:25519	NM_018075	Q9NW15
ANO5	19	miscellaneous	24	nuclear pore	203859	128482	HGNC:27337	NM_213599	Q75V66
ANO6	3	ER membrane	19	nuclear outer membrane-ER membrane network	196527	128218	HGNC:25240	NM_001025356	Q4KMQ2
ANO8	3	ER membrane	19	nuclear outer membrane-ER membrane network	57719	121742	HGNC:29329	NM_020959	Q9HCE9
ANP32E	8	nucleolus	22	chromatin, nucleoplasm	81611	123548	HGNC:16673	NM_030920	Q9BTT0
ANTXR1	11	plasma membrane	-	-	84168	123924	HGNC:21014	NM_032208	Q9H6X2
ANTXR2	11	plasma membrane	20	cell junction, plasma membrane	118429	125602	HGNC:21732	NM_058172	P58335
ANXA6	6	ER lumen	-	-	309	106806	HGNC:544	NM_001155	P08133
AP1AR	20	early endosome, recycling endosome	18	endosome, lysosome	55435	120667	HGNC:28808	NM_018569	Q63HQ0
AP1B1	7	endosome, lysosome	6	clathrin coat	162	106671	HGNC:554	NM_001127	Q10567
AP1G1	7	endosome, lysosome	1	no prediction	164	106673	HGNC:555	NM_001030007	O43747
AP1M1	7	endosome, lysosome	6	clathrin coat	8907	114421	HGNC:13667	NM_032493	Q9BXS5
AP2A1	5	actin cytoskeleton, cytosol	6	clathrin coat	160	106669	HGNC:561	NM_014203	O95782
AP2A2	5	actin cytoskeleton, cytosol	6	clathrin coat	161	106670	HGNC:562	NM_012305	O94973
AP2B1	7	endosome, lysosome	18	endosome, lysosome	163	106672	HGNC:563	NM_001030006	P63010
AP2M1	7	endosome, lysosome	18	endosome, lysosome	1173	107587	HGNC:564	NM_004068	Q96CW1
AP2S1	5	actin cytoskeleton, cytosol	6	clathrin coat	1175	107589	HGNC:565	NM_001301076	P53680
AP3B1	7	endosome, lysosome	18	endosome, lysosome	8546	114116	HGNC:566	NM_001271769	O00203
AP3D1	7	endosome, lysosome	18	endosome, lysosome	8943	114455	HGNC:568	NM_001261826	O14617
AP3M1	19	miscellaneous	-	-	26985	117938	HGNC:569	NM_001320263	Q9Y2T2
AP3S1	7	endosome, lysosome	1	no prediction	1176	107590	HGNC:2013	NM_001364119	Q92572
AP3S2	7	endosome, lysosome	18	endosome, lysosome	10239	115533	HGNC:571	NM_005829	P59780
AP4E1	20	early endosome, recycling endosome	18	endosome, lysosome	23431	116999	HGNC:573	NM_001252127	Q9UPM8
APBB1	20	early endosome, recycling endosome	18	endosome, lysosome	322	106819	HGNC:581	NM_001164	O00213
APBB2	20	early endosome, recycling endosome	18	endosome, lysosome	323	106820	HGNC:582	NM_173075	Q92870
APC	1	cell junction	20	cell junction, plasma membrane	324	106821	HGNC:583	NM_000038	P25054
API5	10	nuclear body	22	chromatin, nucleoplasm	8539	114109	HGNC:594	NM_006595	Q9BZZ5
APLP2	14	Golgi apparatus	20	cell junction, plasma membrane	334	106831	HGNC:598	NM_001642	Q06481
APMAP	6	ER lumen	4	ER lumen	57136	121397	HGNC:13238	NM_020531	Q9HDC9
APOL2	13	mitochondrial outer membrane, peroxisome	19	nuclear outer membrane-ER membrane network	23780	117279	HGNC:619	NM_145637	Q9BQE5
APOO	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	79135	122556	HGNC:28727	NM_024122	Q9BUR5
APOOL	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	139322	126558	HGNC:24009	NM_198450	Q6UXV4
APP	6	ER lumen	-	-	351	106848	HGNC:620	NM_000484	P05067
APPL1	20	early endosome, recycling endosome	18	endosome, lysosome	26060	117522	HGNC:24035	NM_012096	Q9UKG1
APPL2	7	endosome, lysosome	18	endosome, lysosome	55198	120495	HGNC:18242	NM_018171	Q8NEU8
APRT	14	Golgi apparatus	-	-	353	106849	HGNC:626	NM_000485	P07741
AQR	10	nuclear body	5	spliceosomal complex I	9716	115065	HGNC:29513	NM_014691	O60306
ARAF	11	plasma membrane	20	cell junction, plasma membrane	369	106864	HGNC:646	NM_001256196	P10398
ARAP2	1	cell junction	20	cell junction, plasma membrane	116984	125547	HGNC:16924	NM_015230	Q8WZ64
ARC	11	plasma membrane	20	cell junction, plasma membrane	23237	116842	HGNC:648	NM_015193	Q7LC44
ARCN1	14	Golgi apparatus	9	Golgi apparatus	372	106867	HGNC:649	NM_001142281	P48444
AREL1	15	nuclear outer membrane-ER membrane network	1	no prediction	9870	115203	HGNC:20363	NM_014821	O15033
ARF1	13	mitochondrial outer membrane, peroxisome	1	no prediction	375	106870	HGNC:652	NM_001024227	P84077
ARF4	13	mitochondrial outer membrane, peroxisome	-	-	378	106873	HGNC:655	NM_001660	P18085
ARF5	13	mitochondrial outer membrane, peroxisome	1	no prediction	381	106876	HGNC:658	NM_001662	P84085
ARF6	11	plasma membrane	1	no prediction	382	106877	HGNC:659	NM_001663	P62330
ARFGAP2	14	Golgi apparatus	9	Golgi apparatus	84364	124065	HGNC:13504	NM_032389	Q8N6H7
ARFGAP3	14	Golgi apparatus	9	Golgi apparatus	26286	117668	HGNC:661	NM_014570	Q9NP61
ARFGEF1	20	early endosome, recycling endosome	18	endosome, lysosome	10565	115816	HGNC:15772	NM_006421	Q9Y6D6
ARFGEF2	20	early endosome, recycling endosome	18	endosome, lysosome	10564	115815	HGNC:15853	NM_006420	Q9Y6D5
ARFGEF3	7	endosome, lysosome	18	endosome, lysosome	57221	121457	HGNC:21213	NM_020340	Q5TH69
ARFIP1	14	Golgi apparatus	18	endosome, lysosome	27236	118084	HGNC:21496	NM_014447	P53367
ARFIP2	14	Golgi apparatus	1	no prediction	23647	117174	HGNC:17160	NM_012402	P53365
ARHGAP1	15	nuclear outer membrane-ER membrane network	1	no prediction	392	106885	HGNC:673	NM_004308	Q07960
ARHGAP11A	11	plasma membrane	20	cell junction, plasma membrane	9824	115162	HGNC:15783	NM_014783	Q6P4F7
ARHGAP12	11	plasma membrane	1	no prediction	94134	125122	HGNC:16348	NM_001270695	Q8IWW6
ARHGAP17	5	actin cytoskeleton, cytosol	-	-	55114	120424	HGNC:18239	NM_018054	Q68EM7
ARHGAP18	11	plasma membrane	20	cell junction, plasma membrane	93663	125050	HGNC:21035	NM_033515	Q8N392
ARHGAP21	1	cell junction	1	no prediction	57584	121636	HGNC:23725	NM_020824	Q5T5U3
ARHGAP29	11	plasma membrane	20	cell junction, plasma membrane	9411	114806	HGNC:30207	NM_004815	Q52LW3
ARHGAP31	11	plasma membrane	1	no prediction	57514	121578	HGNC:29216	NM_020754	Q2M1Z3
ARHGAP32	1	cell junction	1	no prediction	9743	115091	HGNC:17399	NM_014715	A7KAX9
ARHGAP35	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	2909	109166	HGNC:4591	NM_004491	Q9NRY4
ARHGAP39	11	plasma membrane	20	cell junction, plasma membrane	80728	123278	HGNC:29351	NM_001308207	Q9C0H5
ARHGAP5	11	plasma membrane	20	cell junction, plasma membrane	394	106887	HGNC:675	NM_001030055	Q13017
ARHGDIA	11	plasma membrane	20	cell junction, plasma membrane	396	106889	HGNC:678	NM_004309	P52565
ARHGEF1	11	plasma membrane	20	cell junction, plasma membrane	9138	114585	HGNC:681	NM_199002	Q92888
ARHGEF10	1	cell junction	18	endosome, lysosome	9639	114998	HGNC:14103	NM_001308152	O15013
ARHGEF11	11	plasma membrane	20	cell junction, plasma membrane	9826	115164	HGNC:14580	NM_198236	O15085
ARHGEF12	11	plasma membrane	20	cell junction, plasma membrane	23365	116945	HGNC:14193	NM_015313	Q9NZN5
ARHGEF16	11	plasma membrane	20	cell junction, plasma membrane	27237	118085	HGNC:15515	NM_014448	Q5VV41
ARHGEF18	1	cell junction	20	cell junction, plasma membrane	23370	116950	HGNC:17090	NM_015318	Q6ZSZ5
ARHGEF2	11	plasma membrane	20	cell junction, plasma membrane	9181	114618	HGNC:682	NM_004723	Q92974
ARHGEF26	11	plasma membrane	20	cell junction, plasma membrane	26084	117537	HGNC:24490	NM_015595	Q96DR7
ARHGEF6	12	centrosome	20	cell junction, plasma membrane	9459	114847	HGNC:685	NM_004840	Q15052
