name	id	sources
Coho salmon	okisutch	GO:MF, GO:CC, GO:BP, HP
Bicolor damselfish	spartitus	GO:MF, GO:CC, GO:BP, HP
Horse	ecaballus	GO:MF, GO:CC, GO:BP, KEGG, HP, WP
Olive baboon	panubis	GO:MF, GO:CC, GO:BP, HP
Drill	mleucophaeus	GO:MF, GO:CC, GO:BP, HP
Japanese quail	cjaponica	GO:MF, GO:CC, GO:BP, KEGG, HP
Degu	odegus	GO:MF, GO:CC, GO:BP, HP
Drosophila melanogaster	dmelanogaster	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP
Atlantic cod	gmorhua	GO:MF, GO:CC, GO:BP, HP
Koala	pcinereus	GO:MF, GO:CC, GO:BP, KEGG, HP
Red-bellied piranha	pnattereri	GO:MF, GO:CC, GO:BP, HP
Abingdon island giant tortoise	cabingdonii	GO:MF, GO:CC, GO:BP, HP
Steppe mouse	mspicilegus	GO:MF, GO:CC, GO:BP, HP
Nile tilapia	oniloticus	GO:MF, GO:CC, GO:BP, KEGG, HP
Stickleback	gaculeatus	GO:MF, GO:CC, GO:BP, HP
Tasmanian devil	sharrisii	GO:MF, GO:CC, GO:BP, KEGG, HP
Zig-zag eel	marmatus	GO:MF, GO:CC, GO:BP, HP
Armadillo	dnovemcinctus	GO:MF, GO:CC, GO:BP, HP
Ferret	mpfuro	GO:MF, GO:CC, GO:BP, HP
Denticle herring	dclupeoides	GO:MF, GO:CC, GO:BP, HP
Lion	pleo	GO:MF, GO:CC, GO:BP, HP
Mainland tiger snake	nscutatus	GO:MF, GO:CC, GO:BP, HP
Opossum	mdomestica	GO:MF, GO:CC, GO:BP, KEGG, HP
Mouse	mmusculus	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, COR
Yarrowia lipolytica	ylipolytica	GO:MF, GO:CC, GO:BP, KEGG
Colletotrichum orbiculare	corbiculare	GO:MF, GO:CC, GO:BP
Beauveria bassiana	bbassiana	GO:MF, GO:CC, GO:BP
Aspergillus fumigatus A1163	afumigatusa1163	GO:MF, GO:CC, GO:BP
Aspergillus niger	aniger	GO:MF, GO:CC, GO:BP
Dothistroma septosporum	dseptosporum	GO:MF, GO:CC, GO:BP
Aspergillus nidulans	anidulans	GO:MF, GO:CC, GO:BP, KEGG
Schizosaccharomyces japonicus	sjaponicus	GO:MF, GO:CC, GO:BP
Aspergillus fischeri NRRL 181	nfischeri	GO:MF, GO:CC, GO:BP, KEGG
Puccinia graminis	pgraminis	GO:MF, GO:CC, GO:BP, KEGG
Fusarium solani	fsolani	GO:MF, GO:CC, GO:BP, KEGG
Microbotryum violaceum	mviolaceum	GO:MF, GO:CC, GO:BP
Komagataella pastoris	kpastoris	GO:MF, GO:CC, GO:BP, KEGG
Cryptococcus neoformans var. neoformans JEC21	cneoformans	GO:MF, GO:CC, GO:BP, KEGG
Colletotrichum higginsianum	chigginsianum	GO:MF, GO:CC, GO:BP
Blumeria graminis	bgraminis	GO:MF, GO:CC, GO:BP
Puccinia graminis Ug99	pgraminisug99	GO:MF, GO:CC, GO:BP
Caenorhabditis briggsae	cbriggsae	GO:MF, GO:CC, GO:BP, KEGG
Glossina brevipalpis	gbrevipalpis	GO:MF, GO:CC, GO:BP
Aedes albopictus	aalbopictus	GO:MF, GO:CC, GO:BP, KEGG
Adineta vaga	avaga	GO:MF, GO:CC, GO:BP
Pristionchus pacificus	ppacificus	GO:MF, GO:CC, GO:BP
Schistosoma mansoni	smansoni	GO:MF, GO:CC, GO:BP, KEGG
Drosophila virilis (TSC#15010-1051.87)	dvirilis	GO:MF, GO:CC, GO:BP, KEGG
Anopheles darlingi	adarlingi	GO:MF, GO:CC, GO:BP
Bemisia tabaci (ASIAII-5)	btasiaii5	GO:MF, GO:CC, GO:BP
Strongyloides ratti	sratti	GO:MF, GO:CC, GO:BP
Anopheles sinensis (China)	aschina	GO:MF, GO:CC, GO:BP
Drosophila grimshawi (TSC#15287-2541.00)	dgrimshawi	GO:MF, GO:CC, GO:BP, KEGG
Glossina palpalis	gpalpalis	GO:MF, GO:CC, GO:BP
Atta cephalotes	acephalotes	GO:MF, GO:CC, GO:BP, KEGG
Solenopsis invicta	sinvicta	GO:MF, GO:CC, GO:BP, KEGG
Strongylocentrotus purpuratus (Spur 01)	spurpuratus	GO:MF, GO:CC, GO:BP, KEGG
Drosophila ananassae (TSC#14024-0371.13)	dananassae	GO:MF, GO:CC, GO:BP, KEGG
Bemisia tabaci (SSA3 NG)	btssa3nig	GO:MF, GO:CC, GO:BP
Lepeophtheirus salmonis	lsalmonis	GO:MF, GO:CC, GO:BP
Biomphalaria glabrata	bglabrata	GO:MF, GO:CC, GO:BP
Apis mellifera (DH4)	amellifera	GO:MF, GO:CC, GO:BP, KEGG
Mnemiopsis leidyi	mleidyi	GO:MF, GO:CC, GO:BP
Caenorhabditis remanei	cremanei	GO:MF, GO:CC, GO:BP
Branchiostoma lanceolatum	blanceolatum	GO:MF, GO:CC, GO:BP
Drosophila erecta (TSC#14021-0224.01)	derecta	GO:MF, GO:CC, GO:BP, KEGG
Megaselia scalaris	mscalaris	GO:MF, GO:CC, GO:BP
Drosophila willistoni (TSC#14030-0811.24)	dwillistoni	GO:MF, GO:CC, GO:BP, KEGG
Anopheles minimus	aminimus	GO:MF, GO:CC, GO:BP
Loa loa	lloa	GO:MF, GO:CC, GO:BP, KEGG
Strigamia maritima	smaritima	GO:MF, GO:CC, GO:BP
Dendroctonus ponderosae	dponderosae	GO:MF, GO:CC, GO:BP, KEGG
Anopheles melas	amelas	GO:MF, GO:CC, GO:BP
Trichinella spiralis	tspiralis	GO:MF, GO:CC, GO:BP, KEGG
Bombyx mori	bmori	GO:MF, GO:CC, GO:BP, KEGG, MIRNA
Tetranychus urticae	turticae	GO:MF, GO:CC, GO:BP, KEGG
Glossina fuscipes fuscipes	gfuscipes	GO:MF, GO:CC, GO:BP
Rhodnius prolixus	rprolixus	GO:MF, GO:CC, GO:BP
Drosophila simulans (w501)	dsimulans	GO:MF, GO:CC, GO:BP, KEGG
Anopheles epiroticus	aepiroticus	GO:MF, GO:CC, GO:BP
Anopheles culicifacies	aculicifacies	GO:MF, GO:CC, GO:BP
Bemisia tabaci (SSA1-SG1 UG)	btssa1ug	GO:MF, GO:CC, GO:BP
Stegodyphus mimosarum	smimosarum	GO:MF, GO:CC, GO:BP
Melitaea cinxia	mcinxia	GO:MF, GO:CC, GO:BP
Caenorhabditis brenneri	cbrenneri	GO:MF, GO:CC, GO:BP
Aedes aegypti (LVP_AGWG)	aalvpagwg	GO:MF, GO:CC, GO:BP, KEGG
Ixodes scapularis (ISE6)	isise6	GO:MF, GO:CC, GO:BP, KEGG
Amphimedon queenslandica	aqueenslandica	GO:MF, GO:CC, GO:BP, KEGG
Anopheles stephensi	astephensi	GO:MF, GO:CC, GO:BP
Onchocerca volvulus	ovolvulus	GO:MF, GO:CC, GO:BP
Anopheles quadriannulatus	aquadriannulatus	GO:MF, GO:CC, GO:BP
Brugia malayi	bmalayi	GO:MF, GO:CC, GO:BP, KEGG
Capitella teleta	cteleta	GO:MF, GO:CC, GO:BP
Belgica antarctica	bantarctica	GO:MF, GO:CC, GO:BP
Anopheles stephensi (Indian)	asindian	GO:MF, GO:CC, GO:BP
Danaus plexippus	dplexippus	GO:MF, GO:CC, GO:BP
Anopheles funestus	afunestus	GO:MF, GO:CC, GO:BP
Drosophila mojavensis (TSC#15081-1352.22)	dmojavensis	GO:MF, GO:CC, GO:BP, KEGG
Anopheles atroparvus	aatroparvus	GO:MF, GO:CC, GO:BP
Tribolium castaneum	tcastaneum	GO:MF, GO:CC, GO:BP, KEGG
Anoplophora glabripennis	aglabripennis	GO:MF, GO:CC, GO:BP
Anopheles albimanus	aalbimanus	GO:MF, GO:CC, GO:BP
Culex quinquefasciatus	cquinquefasciatus	GO:MF, GO:CC, GO:BP, KEGG
Drosophila persimilis (MSH-3)	dpersimilis	GO:MF, GO:CC, GO:BP, KEGG
Crassostrea gigas	cgigas	GO:MF, GO:CC, GO:BP, KEGG
Anopheles gambiae	agambiae	GO:MF, GO:CC, GO:BP, KEGG, WP
Bemisia tabaci (SSA2 NG)	btssa2nig	GO:MF, GO:CC, GO:BP
Leptotrombidium deliense	ldeliense	GO:MF, GO:CC, GO:BP
Daphnia magna	dmagna	GO:MF, GO:CC, GO:BP
Nematostella vectensis	nvectensis	GO:MF, GO:CC, GO:BP, KEGG
Drosophila sechellia (Rob3c)	dsechellia	GO:MF, GO:CC, GO:BP, KEGG
Stomoxys calcitrans	scalcitrans	GO:MF, GO:CC, GO:BP
Anopheles maculatus	amaculatus	GO:MF, GO:CC, GO:BP
Bombus terrestris	bterrestris	GO:MF, GO:CC, GO:BP, KEGG
Octopus bimaculoides	obimaculoides	GO:MF, GO:CC, GO:BP, KEGG
Teleopsis dalmanni	tdalmanni	GO:MF, GO:CC, GO:BP
Daphnia pulex	dpulex	GO:MF, GO:CC, GO:BP, KEGG
Thelohanellus kitauei	tkitauei	GO:MF, GO:CC, GO:BP
Drosophila yakuba (Tai18E2)	dyakuba	GO:MF, GO:CC, GO:BP, KEGG
Anopheles coluzzii (Ngousso)	acngousso	GO:MF, GO:CC, GO:BP
Helobdella robusta	hrobusta	GO:MF, GO:CC, GO:BP, KEGG
Anopheles dirus	adirus	GO:MF, GO:CC, GO:BP
Anopheles arabiensis	aarabiensis	GO:MF, GO:CC, GO:BP
Glossina pallidipes	gpallidipes	GO:MF, GO:CC, GO:BP
Ixodes scapularis	iscapularis	GO:MF, GO:CC, GO:BP
Orchesella cincta	ocincta	GO:MF, GO:CC, GO:BP
Nasonia vitripennis (AsymCx)	nvitripennis	GO:MF, GO:CC, GO:BP, KEGG
Anopheles merus	amerus	GO:MF, GO:CC, GO:BP
Dinothrombium tinctorium	dtinctorium	GO:MF, GO:CC, GO:BP
Lottia gigantea	lgigantea	GO:MF, GO:CC, GO:BP, KEGG
Cimex lectularius	clectularius	GO:MF, GO:CC, GO:BP, KEGG
Anopheles coluzzii	acoluzzii	GO:MF, GO:CC, GO:BP
Anopheles sinensis	asinensis	GO:MF, GO:CC, GO:BP
Phlebotomus papatasi	ppapatasi	GO:MF, GO:CC, GO:BP
Pediculus humanus	phumanus	GO:MF, GO:CC, GO:BP, KEGG
Glossina morsitans	gmorsitans	GO:MF, GO:CC, GO:BP
Hofstenia miamia	hmiamia	GO:MF, GO:CC, GO:BP
Lucilia cuprina	lcuprina	GO:MF, GO:CC, GO:BP, KEGG
Heliconius melpomene	hmelpomene	GO:MF, GO:CC, GO:BP
Bemisia tabaci (SSA1-SG1 NG)	btssa1nig	GO:MF, GO:CC, GO:BP
Lutzomyia longipalpis	llongipalpis	GO:MF, GO:CC, GO:BP
Bemisia tabaci (Uganda 1)	btsweetpotug	GO:MF, GO:CC, GO:BP
Glossina austeni	gausteni	GO:MF, GO:CC, GO:BP
Culicoides sonorensis	csonorensis	GO:MF, GO:CC, GO:BP
Zootermopsis nevadensis	znevadensis	GO:MF, GO:CC, GO:BP, KEGG
Folsomia candida str. VU population	fcandida	GO:MF, GO:CC, GO:BP, KEGG
Bombus impatiens	bimpatiens	GO:MF, GO:CC, GO:BP, KEGG
Sarcoptes scabiei	sscabiei	GO:MF, GO:CC, GO:BP
Mayetiola destructor	mdestructor	GO:MF, GO:CC, GO:BP
Anopheles farauti	afarauti	GO:MF, GO:CC, GO:BP
Lingula anatina	lanatina	GO:MF, GO:CC, GO:BP, KEGG
Drosophila pseudoobscura pseudoobscura (MV2-25)	dpseudoobscura	GO:MF, GO:CC, GO:BP, KEGG
Trichoplax adhaerens	tadhaerens	GO:MF, GO:CC, GO:BP, KEGG
Acyrthosiphon pisum	apisum	GO:MF, GO:CC, GO:BP, KEGG
Anopheles christyi	achristyi	GO:MF, GO:CC, GO:BP
Neurospora crassa	ncrassa	GO:MF, GO:CC, GO:BP, KEGG
Schizosaccharomyces pombe	spombe	GO:MF, GO:CC, GO:BP, KEGG
Tuber melanosporum	tmelanosporum	GO:MF, GO:CC, GO:BP, KEGG
Aspergillus terreus NIH2624	aterreus	GO:MF, GO:CC, GO:BP
Fusarium fujikuroi	ffujikuroi	GO:MF, GO:CC, GO:BP
Phaeosphaeria nodorum	pnodorum	GO:MF, GO:CC, GO:BP, KEGG
Aspergillus oryzae RIB40	aoryzae	GO:MF, GO:CC, GO:BP, KEGG
Puccinia striiformis f. sp. tritici PST-130 str. Race 130	pstriiformis	GO:MF, GO:CC, GO:BP
Pyrenophora teres	pteres	GO:MF, GO:CC, GO:BP, KEGG
Verticillium dahliae	vdahliae	GO:MF, GO:CC, GO:BP, KEGG
Sporisorium reilianum	sreilianum	GO:MF, GO:CC, GO:BP
Trichoderma virens	tvirens	GO:MF, GO:CC, GO:BP
Schizosaccharomyces octosporus	soctosporus	GO:MF, GO:CC, GO:BP
Colletotrichum graminicola	cgraminicola	GO:MF, GO:CC, GO:BP
Fusarium verticillioides	fverticillioides	GO:MF, GO:CC, GO:BP, KEGG
Aspergillus clavatus NRRL 1	aclavatus	GO:MF, GO:CC, GO:BP, KEGG
Ustilago maydis	umaydis	GO:MF, GO:CC, GO:BP, KEGG
Zymoseptoria tritici	ztritici	GO:MF, GO:CC, GO:BP, KEGG
Aspergillus flavus NRRL3357	aflavus	GO:MF, GO:CC, GO:BP, KEGG
Leptosphaeria maculans	lmaculans	GO:MF, GO:CC, GO:BP
Trichoderma reesei	treesei	GO:MF, GO:CC, GO:BP, KEGG
Schizosaccharomyces cryophilus	scryophilus	GO:MF, GO:CC, GO:BP
Gaeumannomyces tritici R3-111a-1	ggraminis	GO:MF, GO:CC, GO:BP
Aspergillus fumigatus Af293	afumigatus	GO:MF, GO:CC, GO:BP, KEGG
Pyrenophora tritici-repentis Pt-1C-BFP	ptriticirepentis	GO:MF, GO:CC, GO:BP
Melampsora larici-populina	mlaricipopulina	GO:MF, GO:CC, GO:BP, KEGG
Fusarium oxysporum	foxysporum	GO:MF, GO:CC, GO:BP, KEGG
Botrytis cinerea B05.10	bcinerea	GO:MF, GO:CC, GO:BP, KEGG
Magnaporthe poae	mpoae	GO:MF, GO:CC, GO:BP
Fusarium pseudograminearum	fpseudograminearum	GO:MF, GO:CC, GO:BP, KEGG
Fusarium graminearum str. PH-1	fgraminearum	GO:MF, GO:CC, GO:BP
Ashbya gossypii	agossypii	GO:MF, GO:CC, GO:BP, KEGG
